first_name,last_name,address,zip_code,email_address,phone_number
John,Doe,123 Main St,12345,john.doe@example.com,555-123-4567
Jane,Smith,456 Elm St,23456,jane.smith@example.com,555-234-5678
Michael,Brown,789 Oak St,34567,michael.brown@example.com,555-345-6789
Emily,Davis,101 Pine St,45678,emily.davis@example.com,555-456-7890
William,Johnson,202 Maple St,56789,william.johnson@example.com,555-567-8901
Jessica,Miller,303 Birch St,67890,jessica.miller@example.com,555-678-9012
David,Wilson,404 Cedar St,78901,david.wilson@example.com,555-789-0123
Sarah,Moore,505 Spruce St,89012,sarah.moore@example.com,555-890-1234
James,Taylor,606 Aspen St,90123,james.taylor@example.com,555-901-2345
Karen,Anderson,707 Willow St,11234,karen.anderson@example.com,555-112-3456
Chris,Martinez,808 Cherry St,22345,chris.martinez@example.com,555-223-4567
Patricia,Garcia,909 Chestnut St,33456,patricia.garcia@example.com,555-334-5678
Daniel,Hernandez,1010 Maple Ave,44567,daniel.hernandez@example.com,555-445-6789
Elizabeth,Rodriguez,1111 Cedar Blvd,55678,elizabeth.rodriguez@example.com,555-556-7890
Matthew,Lopez,1212 Oak Dr,66789,matthew.lopez@example.com,555-667-8901
Linda,Harris,1313 Pine Ln,77890,linda.harris@example.com,555-778-9012
Robert,Clark,1414 Spruce Way,88901,robert.clark@example.com,555-889-0123
Jennifer,Lee,1515 Birch Ct,99012,jennifer.lee@example.com,555-990-1234
Charles,Walker,1616 Cedar Ave,11123,charles.walker@example.com,555-111-2345
Barbara,Hall,1717 Willow St,22234,barbara.hall@example.com,555-222-3456
